time	conversion
1.56391	0
5.60257	0.000158046
7.41947	0.000373563
14.3224	0.000445402
15.9909	0.000632184
23.4219	0.000718391
27.001	0.00079023
34.7415	0.000847701
35.9198	0.00100575
37.663	0.00102011
39.9694	0.00103448
42.2923	0.00113506
43.5072	0.0012931
45.687	0.0012931
48.0398	0.00132184
49.5787	0.00136494
54.0058	0.00136494
55.9982	0.00147989
59.3448	0.00155172
63.9229	0.00158046
66.1386	0.00166667
67.7607	0.00166667
69.5241	0.00188218
74.2744	0.00204023
77.1982	0.00206897
79.8127	0.00234195
89.6164	0.00271552
93.692	0.00274425
98.2846	0.00274425
99.4415	0.00275862
102.066	0.00288793
105.384	0.00295977
109.635	0.00297414
110.856	0.00303161
114.292	0.00326149
116.226	0.00333333
117.715	0.0033908
119.574	0.00360632
121.619	0.00383621
125.208	0.00383621
128.018	0.00389368
130.169	0.00397989
131.421	0.00397989
134.042	0.00428161
136.195	0.0045546
140.249	0.0045546
143.275	0.00462644
152.648	0.0046408
155.642	0.00465517
157.772	0.00475575
160.333	0.00482759
162.287	0.00489943
164.969	0.00510057
167.335	0.00520115
169.234	0.00527299
173.192	0.00545977
175.209	0.00558908
177.346	0.00570402
181.506	0.00571839
185.18	0.00571839
186.768	0.00574713
192.563	0.00577586
198.606	0.00581897
208.099	0.00594828
209.238	0.0062069
210.247	0.00632184
211.459	0.00663793
213.69	0.00676724
214.793	0.00678161
215.896	0.00692529
216.999	0.00698276
218.013	0.00764368
219.058	0.00787356
220.473	0.00813218
222.66	0.00844828
224.889	0.00850575
226.153	0.00909483
227.452	0.00916667
229.434	0.00928161
230.554	0.0100287
232.597	0.0101149
233.947	0.0103017
235.911	0.0105316
237.014	0.0105316
238.863	0.0106897
239.939	0.0109626
241.251	0.0113649
242.287	0.011408
243.722	0.0120402
245.763	0.0122414
247.193	0.0123563
248.637	0.012658
249.675	0.0128017
250.699	0.0130029
252.017	0.0132471
253.072	0.013319
254.837	0.0135057
256.521	0.0138793
257.578	0.014181
258.968	0.0145402
260.993	0.0146983
262.314	0.0147557
263.576	0.0158477
265.903	0.0158764
268.8	0.0161063
269.895	0.0162213
271.182	0.0162213
272.189	0.0163362
274.357	0.0164224
275.413	0.0165374
276.936	0.0166523
278.204	0.0167241
279.962	0.0168822
281.035	0.0169684
282.331	0.0170977
283.694	0.0171408
285.007	0.0172414
286.235	0.0172845
288.933	0.0176293
291.233	0.0178305
292.443	0.0178879
293.517	0.0181034
296.069	0.0185632
297.301	0.0187213
298.763	0.0191092
300.738	0.0193534
301.813	0.0193822
303.156	0.0194397
304.512	0.0195977
306.741	0.0199569
309.24	0.020273
310.381	0.0204598
311.392	0.0206322
312.52	0.0208477
313.671	0.0210632
316.095	0.0211494
317.511	0.0212213
319.394	0.0215517
321.541	0.0216954
323.353	0.0219109
324.617	0.022069
327.533	0.0221408
328.559	0.0226006
329.784	0.0227011
331.25	0.0229167
332.277	0.0229167
334.604	0.0229885
335.734	0.0230172
337.95	0.0231609
339.683	0.0231609
340.977	0.0232902
342.406	0.0234339
344.126	0.0235632
346.389	0.0237787
347.482	0.0238506
348.866	0.0242529
350.448	0.0243822
351.947	0.0246264
353.081	0.0248132
354.736	0.0249569
357.053	0.025158
359.513	0.0252443
361.266	0.0253448
362.363	0.025431
364.623	0.0256322
365.877	0.0259339
367.623	0.0259483
368.766	0.0260489
371.46	0.0261638
372.593	0.0262356
375.067	0.0262787
376.111	0.0264655
378.849	0.0268534
380.409	0.0268678
382.453	0.0269109
383.836	0.0270259
385.227	0.0271264
387.588	0.0272845
390.39	0.0273707
393.01	0.0273707
394.053	0.0276437
395.24	0.0277011
396.663	0.0277011
398.333	0.0281609
399.486	0.0288218
401.036	0.0289368
402.182	0.0296121
404.364	0.0300144
405.562	0.0306466
406.906	0.0307902
407.907	0.0313218
409.198	0.0315517
410.414	0.0322989
412.08	0.0330316
413.328	0.0335489
414.425	0.0341667
415.569	0.0347414
416.915	0.0348276
418.538	0.0354167
420.184	0.0358477
421.355	0.0362069
422.398	0.0362644
423.401	0.0363937
424.723	0.0369109
425.813	0.0371695
427.49	0.0372989
428.675	0.0375862
430.228	0.0377586
431.42	0.0380029
432.57	0.0385345
433.586	0.0388937
434.845	0.0392385
436.237	0.0393534
437.277	0.0396839
438.329	0.0401724
439.52	0.0407759
440.77	0.041681
442.02	0.0419684
443.048	0.0424569
444.175	0.042773
445.594	0.0429167
446.976	0.0431034
448.078	0.043204
449.189	0.0434195
450.412	0.0438506
451.46	0.0444397
452.997	0.0451006
454.2	0.045431
455.409	0.0459052
456.676	0.0459626
457.767	0.04625
458.829	0.0470259
459.865	0.0478592
460.934	0.0481178
461.937	0.048908
463.507	0.0490805
464.645	0.0492529
466.245	0.0499425
467.402	0.0500718
468.428	0.0502011
469.551	0.0505029
470.829	0.0506609
471.995	0.0510489
473.222	0.0513506
474.433	0.0515517
476.013	0.051954
477.362	0.052658
478.506	0.053204
479.566	0.0533046
480.587	0.053477
482.257	0.0536925
483.286	0.0540948
484.524	0.0544253
485.742	0.0546121
487.017	0.0551437
488.267	0.0557328
489.334	0.0559339
490.455	0.0568103
491.895	0.0571121
493.382	0.0573994
494.504	0.0575862
495.583	0.0578017
496.78	0.0581897
498.155	0.0584195
499.17	0.0588506
500.313	0.0591092
501.709	0.0593678
502.879	0.0595833
504.104	0.0596695
505.284	0.0598132
506.324	0.0598851
507.527	0.0601293
508.984	0.0604167
510.01	0.0608477
511.031	0.0610201
512.125	0.0613075
513.272	0.0613937
514.48	0.0616667
515.689	0.0617672
516.718	0.0618678
518.169	0.0619397
519.169	0.0621839
520.284	0.0628736
521.382	0.0631897
522.441	0.0634483
523.767	0.0639368
524.775	0.0644828
525.879	0.0645977
526.939	0.0651006
528.056	0.0654885
529.056	0.0658477
530.081	0.0661494
531.122	0.06625
532.981	0.066681
534.047	0.0670977
535.139	0.0679454
536.394	0.0682184
537.687	0.0684052
538.731	0.0686494
539.763	0.06875
540.781	0.0692385
541.784	0.0694684
543.042	0.0695259
544.419	0.0697989
545.44	0.070273
547.238	0.0708333
548.246	0.0710057
549.264	0.0713649
550.35	0.0717672
551.518	0.0724856
552.574	0.0725287
553.937	0.0727011
555.24	0.0730603
556.721	0.0733477
557.883	0.0738793
558.895	0.0740805
559.936	0.0742241
561.277	0.0743966
562.341	0.0747557
563.793	0.0749856
564.853	0.075
565.887	0.0751149
567.505	0.0754023
568.529	0.0756466
569.6	0.076092
570.639	0.0763649
571.811	0.0769397
572.811	0.0772701
574.476	0.0774138
575.599	0.0776293
576.719	0.0779598
577.851	0.0782328
578.98	0.0786063
580.198	0.079023
581.35	0.0790517
582.713	0.0796552
583.98	0.0799425
584.982	0.0800718
586.066	0.0802299
587.106	0.0804741
588.66	0.0811207
590.18	0.0817385
591.235	0.0821983
592.587	0.0826724
593.691	0.0828305
594.838	0.0832184
595.877	0.0834339
597.553	0.0839799
598.898	0.0841236
599.964	0.0844971
600.964	0.0850144
602.022	0.0856322
603.323	0.0859052
604.409	0.0866667
605.537	0.0871695
606.55	0.088046
607.58	0.0883764
608.892	0.0890517
610.252	0.0894684
611.258	0.0897414
612.316	0.090273
613.327	0.0904454
614.407	0.0908333
615.413	0.0912356
616.527	0.091523
617.661	0.0920402
618.779	0.092658
619.781	0.0934626
620.887	0.0936925
622.015	0.0938649
623.127	0.0943103
624.25	0.0944109
625.407	0.0946983
626.408	0.0952586
627.409	0.0957328
628.416	0.0964224
629.771	0.0966092
630.879	0.0970402
631.914	0.0973851
632.923	0.0975575
633.926	0.0979167
634.945	0.0980891
636.014	0.0982759
637.021	0.0985489
638.077	0.0987931
639.168	0.0989943
640.177	0.0993103
641.224	0.0995833
642.229	0.0998132
643.258	0.100057
644.26	0.100316
645.275	0.100618
646.291	0.100905
647.308	0.100991
648.317	0.101207
649.377	0.101494
650.401	0.101638
651.411	0.101753
652.483	0.101954
653.487	0.102241
654.494	0.102385
655.516	0.102543
656.526	0.102615
657.667	0.10273
658.689	0.103032
659.726	0.103075
660.738	0.103333
661.748	0.103506
662.751	0.103693
663.758	0.103836
664.784	0.103994
665.803	0.104325
666.908	0.104425
667.909	0.104641
668.925	0.104943
669.976	0.105129
671.016	0.105359
672.018	0.105503
673.047	0.105603
674.061	0.10592
675.096	0.106078
676.143	0.106236
677.2	0.106351
678.214	0.106523
679.274	0.106695
680.324	0.106839
681.36	0.106983
682.41	0.107141
683.413	0.107299
684.505	0.107443
685.683	0.107529
686.803	0.107658
687.867	0.107787
688.867	0.107917
690.191	0.108032
691.308	0.108103
692.374	0.10819
693.434	0.108348
694.438	0.108448
695.449	0.108578
696.489	0.108764
697.616	0.108894
698.776	0.109037
699.784	0.109124
700.841	0.109253
701.854	0.109397
702.867	0.109655
703.977	0.109842
