time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00004 0.0113764 0.00562681 0.000124131 6.70977e-07 4.65939 0.00012346 
2.0001 0.0113429 0.00559326 0.00015768 6.70977e-07 4.65348 0.000157009 
3.00029 0.0113127 0.00556307 0.000187874 0 4.64858 0.000187874 
4.00065 0.0113019 0.00555233 0.000198609 0 4.64416 0.000198609 
5.00065 0.0112724 0.00552281 0.000228132 1.34195e-06 4.63997 0.00022679 
6.00094 0.0112644 0.00551476 0.000236184 0 4.63621 0.000236184 
7.00096 0.0112476 0.00549799 0.000252958 6.70977e-07 4.63258 0.000252287 
8.00105 0.0112322 0.00548255 0.000268391 0 4.62936 0.000268391 
9.00176 0.0112241 0.0054745 0.000276443 0 4.62625 0.000276443 
10.002 0.011204 0.00545437 0.000296572 0 4.62339 0.000296572 
11.0021 0.0111973 0.00544766 0.000303282 0 4.62054 0.000303282 
12.0022 0.0111859 0.00543626 0.000314688 6.70977e-07 4.61783 0.000314017 
13.0025 0.0111785 0.00542888 0.000322069 0 4.61515 0.000322069 
14.0026 0.0111738 0.00542418 0.000326766 6.70977e-07 4.61255 0.000326095 
15.0028 0.0111691 0.00541948 0.000331463 0 4.60991 0.000331463 
16.0029 0.0111543 0.00540472 0.000346224 0 4.60742 0.000346224 
17.003 0.0111476 0.00539801 0.000352934 0 4.60509 0.000352934 
18.0031 0.0111369 0.00538727 0.00036367 0 4.60268 0.00036367 
19.0031 0.0111315 0.00538191 0.000369037 0 4.60041 0.000369037 
20.0032 0.0111288 0.00537922 0.000371721 1.34195e-06 4.59817 0.000370379 
21.0033 0.0111288 0.00537922 0.000371721 0 4.59603 0.000371721 
22.0034 0.0111282 0.00537855 0.000372392 6.70977e-07 4.59387 0.000371721 
23.0034 0.0111241 0.00537453 0.000376418 6.70977e-07 4.59172 0.000375747 
24.0035 0.0111201 0.0053705 0.000380444 6.70977e-07 4.58955 0.000379773 
25.0035 0.0111127 0.00536312 0.000387825 0 4.58741 0.000387825 
26.0039 0.011106 0.00535641 0.000394534 0 4.58538 0.000394534 
27.0039 0.0111013 0.00535171 0.000399231 6.70977e-07 4.58343 0.00039856 
28.0042 0.011102 0.00535238 0.00039856 0 4.58133 0.00039856 
29.0049 0.0110966 0.00534702 0.000403928 0 4.57937 0.000403928 
30.0051 0.0110939 0.00534433 0.000406612 0 4.57737 0.000406612 
31.0053 0.0110899 0.00534031 0.000410638 0 4.57532 0.000410638 
32.0053 0.0110866 0.00533695 0.000413993 6.70977e-07 4.57335 0.000413322 
33.0056 0.0110832 0.0053336 0.000417348 0 4.57142 0.000417348 
34.0057 0.0110832 0.0053336 0.000417348 0 4.5694 0.000417348 
35.0058 0.0110805 0.00533091 0.000420032 0 4.56749 0.000420032 
36.0064 0.0110765 0.00532689 0.000424057 0 4.56555 0.000424057 
37.0064 0.0110711 0.00532152 0.000429425 1.34195e-06 4.5636 0.000428083 
38.0065 0.0110704 0.00532085 0.000430096 6.70977e-07 4.56175 0.000429425 
