time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00002 4258 2116 27 1 6.95417e+06 26 
2.0042 4255 2113 30 0 6.95037e+06 30 
3.00797 4247 2105 38 0 6.94661e+06 38 
4.00802 4243 2101 42 2 6.9433e+06 40 
5.0331 4241 2099 44 0 6.94023e+06 44 
6.03554 4237 2095 48 0 6.93785e+06 48 
7.03924 4231 2089 54 0 6.9353e+06 54 
8.03937 4228 2086 57 1 6.9329e+06 56 
9.04032 4227 2085 58 0 6.93084e+06 58 
10.0423 4221 2079 64 0 6.92883e+06 64 
11.0469 4217 2075 68 0 6.92655e+06 68 
12.047 4217 2075 68 0 6.925e+06 68 
13.0531 4215 2073 70 0 6.92336e+06 70 
14.0603 4215 2073 70 0 6.92161e+06 70 
15.0634 4213 2071 72 0 6.91996e+06 72 
16.0634 4210 2068 75 1 6.91847e+06 74 
17.0652 4211 2069 74 0 6.91692e+06 74 
18.0684 4207 2065 78 0 6.91535e+06 78 
19.075 4203 2061 82 0 6.91368e+06 82 
20.0772 4201 2059 84 0 6.91236e+06 84 
21.078 4199 2057 86 0 6.9108e+06 86 
22.0871 4197 2055 88 0 6.90940e+06 88 
23.0913 4197 2055 88 0 6.90807e+06 88 
24.0926 4197 2055 88 0 6.90687e+06 88 
25.0953 4197 2055 88 0 6.90548e+06 88 
26.1007 4195 2053 90 0 6.90427e+06 90 
27.1094 4193 2051 92 0 6.90282e+06 92 
28.1134 4191 2049 94 0 6.90155e+06 94 
29.1136 4191 2049 94 0 6.90038e+06 94 
30.117 4191 2049 94 0 6.89911e+06 94 
31.1199 4191 2049 94 0 6.89773e+06 94 
32.1207 4189 2047 96 0 6.89649e+06 96 
33.1208 4188 2046 97 1 6.8951e+06 96 
34.1208 4186 2044 99 1 6.89383e+06 98 
35.1208 4187 2045 98 0 6.89273e+06 98 
36.1218 4187 2045 98 0 6.8914e+06 98 
37.1249 4187 2045 98 0 6.89023e+06 98 
38.1264 4183 2041 102 0 6.88897e+06 102 
39.1282 4183 2041 102 0 6.88757e+06 102 
40.129 4183 2041 102 0 6.8865e+06 102 
41.129 4182 2040 103 1 6.88528e+06 102 
42.1308 4181 2039 104 0 6.88413e+06 104 
43.1308 4180 2038 105 1 6.88311e+06 104 
44.1318 4179 2037 106 0 6.88199e+06 106 
45.132 4179 2037 106 0 6.88081e+06 106 
46.138 4179 2037 106 0 6.87973e+06 106 
47.1388 4179 2037 106 0 6.87866e+06 106 
48.1405 4179 2037 106 0 6.87772e+06 106 
49.1413 4177 2035 108 0 6.87654e+06 108 
50.1413 4176 2034 109 1 6.87548e+06 108 
51.1474 4177 2035 108 0 6.8744e+06 108 
52.1474 4176 2034 109 1 6.87342e+06 108 
53.1475 4174 2032 111 1 6.87257e+06 110 
54.1556 4175 2033 110 0 6.87156e+06 110 
55.1591 4175 2033 110 0 6.87055e+06 110 
56.1599 4171 2029 114 0 6.86949e+06 114 
57.162 4171 2029 114 0 6.86827e+06 114 
58.163 4171 2029 114 0 6.86721e+06 114 
59.163 4170 2028 115 1 6.86632e+06 114 
60.1645 4171 2029 114 0 6.86535e+06 114 
61.1648 4171 2029 114 0 6.86432e+06 114 
62.165 4169 2027 116 0 6.86352e+06 116 
63.173 4169 2027 116 0 6.86264e+06 116 
64.1732 4169 2027 116 0 6.86174e+06 116 
65.1736 4169 2027 116 0 6.86089e+06 116 
66.1736 4168 2026 117 1 6.85995e+06 116 
67.1759 4169 2027 116 0 6.85897e+06 116 
68.1763 4169 2027 116 0 6.85806e+06 116 
69.1774 4169 2027 116 0 6.85693e+06 116 
70.1815 4169 2027 116 0 6.85595e+06 116 
71.1823 4169 2027 116 0 6.85488e+06 116 
72.1836 4167 2025 118 0 6.85383e+06 118 
73.1864 4167 2025 118 0 6.85284e+06 118 
74.1864 4166 2024 119 1 6.85176e+06 118 
75.1874 4165 2023 120 0 6.85073e+06 120 
76.1889 4161 2019 124 0 6.84988e+06 124 
77.1898 4161 2019 124 0 6.84888e+06 124 
78.196 4159 2017 126 0 6.84804e+06 126 
79.197 4159 2017 126 0 6.8471e+06 126 
80.1996 4159 2017 126 0 6.84627e+06 126 
81.2 4159 2017 126 0 6.84527e+06 126 
82.2001 4158 2016 127 1 6.8445e+06 126 
83.2001 4159 2017 126 0 6.8435e+06 126 
84.2028 4157 2015 128 0 6.84263e+06 128 
85.2028 4154 2012 131 1 6.84174e+06 130 
86.203 4155 2013 130 0 6.84078e+06 130 
87.2102 4155 2013 130 0 6.83996e+06 130 
88.2238 4155 2013 130 0 6.83912e+06 130 
89.2238 4154 2012 131 1 6.83819e+06 130 
90.2254 4155 2013 130 0 6.83726e+06 130 
91.2273 4155 2013 130 0 6.83647e+06 130 
92.2273 4154 2012 131 1 6.83562e+06 130 
93.233 4155 2013 130 0 6.83468e+06 130 
94.2383 4155 2013 130 0 6.8339e+06 130 
95.239 4155 2013 130 0 6.83286e+06 130 
96.241 4155 2013 130 0 6.83194e+06 130 
97.2494 4155 2013 130 0 6.83108e+06 130 
98.2551 4155 2013 130 0 6.83019e+06 130 
99.2575 4155 2013 130 0 6.82929e+06 130 
100.262 4155 2013 130 0 6.8284e+06 130 
101.264 4155 2013 130 0 6.82765e+06 130 
102.268 4155 2013 130 0 6.82673e+06 130 
103.268 4155 2013 130 0 6.82592e+06 130 
104.271 4155 2013 130 0 6.82504e+06 130 
105.272 4155 2013 130 0 6.82417e+06 130 
106.274 4153 2011 132 0 6.82331e+06 132 
107.275 4153 2011 132 0 6.82246e+06 132 
108.275 4153 2011 132 0 6.8216e+06 132 
109.276 4153 2011 132 0 6.82074e+06 132 
110.28 4151 2009 134 0 6.82e+06 134 
111.281 4149 2007 136 0 6.81898e+06 136 
112.281 4149 2007 136 0 6.81814e+06 136 
113.285 4149 2007 136 0 6.8172e+06 136 
114.298 4149 2007 136 0 6.81633e+06 136 
115.3 4147 2005 138 0 6.81564e+06 138 
116.301 4145 2003 140 0 6.81481e+06 140 
117.302 4143 2001 142 0 6.81397e+06 142 
118.302 4143 2001 142 0 6.81312e+06 142 
119.307 4143 2001 142 0 6.81233e+06 142 
120.311 4141 1999 144 0 6.8113e+06 144 
121.311 4141 1999 144 0 6.81063e+06 144 
122.317 4141 1999 144 0 6.80991e+06 144 
123.319 4139 1997 146 0 6.80913e+06 146 
124.32 4139 1997 146 0 6.80831e+06 146 
125.326 4137 1995 148 0 6.80756e+06 148 
126.326 4134 1992 151 1 6.80687e+06 150 
127.329 4135 1993 150 0 6.80605e+06 150 
128.342 4135 1993 150 0 6.80538e+06 150 
129.342 4134 1992 151 1 6.80459e+06 150 
130.348 4135 1993 150 0 6.8039e+06 150 
131.348 4135 1993 150 0 6.80321e+06 150 
132.358 4135 1993 150 0 6.80244e+06 150 
133.361 4135 1993 150 0 6.80165e+06 150 
134.364 4135 1993 150 0 6.8009e+06 150 
135.368 4135 1993 150 0 6.80033e+06 150 
136.372 4135 1993 150 0 6.79947e+06 150 
137.373 4135 1993 150 0 6.79875e+06 150 
138.374 4131 1989 154 0 6.798e+06 154 
139.389 4131 1989 154 0 6.79735e+06 154 
140.39 4131 1989 154 0 6.79658e+06 154 
