time	conversion
1.0028	0.00255747
2.00412	0.00515805
3.02745	0.00613506
4.03048	0.00698276
5.05719	0.00797414
6.06591	0.0087069
7.07471	0.00958333
8.09563	0.0106897
9.10233	0.0115805
10.1617	0.0127155
11.1628	0.01375
12.1814	0.0142098
13.212	0.0145546
14.2723	0.0150575
15.3135	0.0154598
16.316	0.0161063
17.3255	0.0164943
18.3389	0.0166954
19.3492	0.0176293
20.364	0.0183764
21.3643	0.0191379
22.4128	0.0196264
23.4184	0.0201006
24.4188	0.0203879
25.4199	0.0208477
26.433	0.0214799
27.5052	0.0220833
28.5122	0.0226437
29.552	0.0232471
30.5886	0.0236925
31.6784	0.0240948
32.6809	0.0245546
33.7129	0.0249425
34.7298	0.0256753
35.7312	0.0261638
36.7327	0.0265948
37.7417	0.0268678
38.7543	0.0272845
39.7796	0.0278736
40.817	0.0284914
41.8189	0.0289799
42.8232	0.029569
43.9557	0.0301149
44.9821	0.0303879
46.0284	0.0307471
47.0289	0.0311207
48.0355	0.0314224
49.0954	0.0316523
50.1639	0.0320115
51.1652	0.0323563
52.2559	0.0327443
53.2573	0.0331322
54.2789	0.0335345
55.2831	0.0340374
56.3139	0.0344253
57.353	0.0347701
58.377	0.0351724
59.3909	0.0356034
60.4084	0.0360489
61.4156	0.0362787
62.4476	0.0366236
63.6485	0.0371264
64.6518	0.0374856
65.6677	0.0379598
66.6678	0.0384626
67.7137	0.0388218
68.7734	0.0391667
69.8442	0.0394397
70.8532	0.0399713
71.907	0.0404167
72.9089	0.040704
73.9395	0.0411782
74.9426	0.041681
76.0341	0.0419397
77.0469	0.0423563
78.0493	0.0429454
79.0624	0.0432328
80.0799	0.0435632
81.101	0.0439368
82.117	0.0443247
83.1241	0.0445977
84.1374	0.0451437
85.1452	0.0455891
86.1534	0.0459339
87.1626	0.046408
88.1704	0.0468534
89.1919	0.0471983
90.2204	0.0474713
91.2237	0.0480891
92.2333	0.0485776
93.267	0.0488649
94.2675	0.0493534
95.2719	0.0496552
96.2744	0.0500575
97.2791	0.0502299
98.2797	0.0506034
99.2896	0.0508764
100.301	0.0512644
101.309	0.0513937
102.319	0.0517241
103.34	0.0518966
104.356	0.052342
105.494	0.0525
106.499	0.0527299
107.5	0.0530316
108.5	0.0533764
109.502	0.0536782
110.517	0.053908
111.577	0.0542098
112.642	0.0544397
113.643	0.0546839
114.656	0.0547701
115.725	0.0550287
116.748	0.055158
117.748	0.0555172
118.754	0.0559483
119.77	0.0563362
120.797	0.0566236
121.862	0.0567098
122.865	0.0569971
123.872	0.0572557
124.878	0.0575431
125.879	0.0578879
126.89	0.0581322
127.936	0.0583477
128.948	0.0586351
129.954	0.0589224
131.046	0.0591523
132.062	0.0593966
133.065	0.0596121
134.068	0.0600144
135.069	0.0601437
136.077	0.060546
137.085	0.0608046
138.088	0.0610632
139.1	0.0612644
140.1	0.0614943
141.101	0.0617529
142.11	0.0620833
143.113	0.0622557
144.151	0.0624856
145.21	0.0627011
146.222	0.063046
147.25	0.0634195
148.251	0.0636925
149.252	0.0640086
150.253	0.0643247
151.332	0.0645115
152.392	0.0647701
153.404	0.0650575
154.432	0.0653305
155.442	0.0655172
156.463	0.0657328
157.468	0.065977
158.468	0.0662069
159.472	0.0665517
160.476	0.0667385
161.498	0.0670833
162.528	0.0672845
163.55	0.0674569
164.593	0.067773
165.622	0.0681034
166.638	0.0683333
167.656	0.0686207
168.657	0.0687644
169.686	0.0690374
170.692	0.0693103
171.762	0.0695402
172.772	0.0698707
173.853	0.0702011
174.856	0.0704885
175.881	0.0706753
176.926	0.0709195
177.954	0.0713075
178.955	0.0715948
179.987	0.0719684
180.995	0.0722126
182.007	0.0723276
183.019	0.0725575
184.019	0.0727586
185.025	0.072931
186.034	0.0732184
187.044	0.0733046
188.067	0.0734914
189.079	0.0737931
190.086	0.0740086
191.118	0.0742672
192.127	0.074569
193.128	0.0747126
194.133	0.0749425
195.143	0.0751724
196.148	0.0754598
197.159	0.0757759
198.187	0.0759914
199.189	0.0761207
200.195	0.0764511
201.235	0.0766523
202.241	0.0768966
203.251	0.0772126
204.253	0.0774138
205.284	0.0776293
206.287	0.0778736
207.345	0.0781897
208.407	0.0784195
209.407	0.0785776
210.41	0.0788218
211.42	0.0791092
212.427	0.0793966
213.5	0.0795546
214.508	0.079842
215.518	0.08
216.521	0.0802011
217.55	0.0805747
218.559	0.0807471
219.564	0.0809483
220.565	0.0811207
221.576	0.0813937
222.59	0.0815374
223.591	0.0817816
224.592	0.0819397
225.596	0.0821695
226.606	0.0822989
227.622	0.0824425
228.691	0.0826006
229.712	0.0827586
230.791	0.0829167
231.798	0.0832615
232.815	0.0835345
233.817	0.0837931
234.823	0.0840374
235.842	0.0842098
236.855	0.0843247
237.879	0.0843966
238.881	0.0845977
239.881	0.0847557
240.888	0.084842
241.896	0.0851437
242.897	0.085431
243.909	0.0857471
244.913	0.0860057
246.036	0.0861782
247.058	0.0865517
248.074	0.0866954
249.106	0.0869253
250.108	0.0871408
251.112	0.0874856
252.127	0.0876724
253.148	0.0877874
254.151	0.088046
255.239	0.0882328
256.322	0.0884052
257.323	0.0885345
