time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00639 0.0114066 0.0057033 0.000134195 0 4.65994 0.000134195 
2.01865 0.0114066 0.0057033 0.000134195 0 4.6537 0.000134195 
3.05372 0.0114066 0.0057033 0.000134195 0 4.65034 0.000134195 
4.06667 0.0114066 0.0057033 0.000134195 0 4.64692 0.000134195 
5.20892 0.0114066 0.0057033 0.000134195 0 4.64122 0.000134195 
6.21068 0.0114066 0.0057033 0.000134195 0 4.63524 0.000134195 
7.2123 0.0114066 0.0057033 0.000134195 0 4.63075 0.000134195 
8.23661 0.0114066 0.0057033 0.000134195 0 4.62665 0.000134195 
9.23685 0.0113395 0.00563621 0.000201293 6.70977e-05 4.62102 0.000134195 
10.2381 0.0113395 0.00563621 0.000201293 6.70977e-05 4.61854 0.000134195 
11.2792 0.0114066 0.0057033 0.000134195 0 4.61404 0.000134195 
12.3284 0.0114066 0.0057033 0.000134195 0 4.61022 0.000134195 
13.3289 0.0114066 0.0057033 0.000134195 0 4.60592 0.000134195 
14.3325 0.0114066 0.0057033 0.000134195 0 4.6027 0.000134195 
15.3957 0.0114066 0.0057033 0.000134195 0 4.59814 0.000134195 
16.4092 0.0114066 0.0057033 0.000134195 0 4.59337 0.000134195 
17.4101 0.0114066 0.0057033 0.000134195 0 4.58626 0.000134195 
18.4344 0.0114066 0.0057033 0.000134195 0 4.5825 0.000134195 
19.4635 0.0114066 0.0057033 0.000134195 0 4.57787 0.000134195 
20.4966 0.0114066 0.0057033 0.000134195 0 4.57512 0.000134195 
21.5014 0.0113395 0.00563621 0.000201293 6.70977e-05 4.57137 0.000134195 
22.5148 0.0114066 0.0057033 0.000134195 0 4.56727 0.000134195 
23.5185 0.0114066 0.0057033 0.000134195 0 4.56291 0.000134195 
24.5241 0.0114066 0.0057033 0.000134195 0 4.55573 0.000134195 
25.5732 0.0114066 0.0057033 0.000134195 0 4.55043 0.000134195 
26.5745 0.0113395 0.00563621 0.000201293 6.70977e-05 4.5462 0.000134195 
27.584 0.0114066 0.0057033 0.000134195 0 4.54345 0.000134195 
28.6097 0.0114066 0.0057033 0.000134195 0 4.53956 0.000134195 
29.6118 0.0113395 0.00563621 0.000201293 6.70977e-05 4.53601 0.000134195 
30.6121 0.0113395 0.00563621 0.000201293 6.70977e-05 4.53164 0.000134195 
31.6152 0.0113395 0.00563621 0.000201293 6.70977e-05 4.52661 0.000134195 
32.617 0.0112724 0.00556911 0.000268391 0.000134195 4.52192 0.000134195 
33.6669 0.0114066 0.0057033 0.000134195 0 4.51856 0.000134195 
34.6722 0.0113395 0.00563621 0.000201293 6.70977e-05 4.51406 0.000134195 
35.6726 0.0113395 0.00563621 0.000201293 6.70977e-05 4.50944 0.000134195 
36.677 0.0113395 0.00563621 0.000201293 6.70977e-05 4.50689 0.000134195 
37.6816 0.0113395 0.00563621 0.000201293 6.70977e-05 4.50185 0.000134195 
38.6922 0.0114066 0.0057033 0.000134195 0 4.49796 0.000134195 
39.7051 0.0114066 0.0057033 0.000134195 0 4.49434 0.000134195 
40.7053 0.0112724 0.00556911 0.000268391 0.000134195 4.49159 0.000134195 
41.7091 0.0113395 0.00563621 0.000201293 6.70977e-05 4.4887 0.000134195 
42.712 0.0113395 0.00563621 0.000201293 6.70977e-05 4.48588 0.000134195 
43.7201 0.0113395 0.00563621 0.000201293 6.70977e-05 4.48193 0.000134195 
44.7645 0.0114066 0.0057033 0.000134195 0 4.47891 0.000134195 
45.7916 0.0113395 0.00563621 0.000201293 6.70977e-05 4.47562 0.000134195 
46.7984 0.0114066 0.0057033 0.000134195 0 4.47314 0.000134195 
47.8 0.0113395 0.00563621 0.000201293 6.70977e-05 4.46898 0.000134195 
48.8008 0.0112724 0.00556911 0.000268391 0.000134195 4.46502 0.000134195 
49.8025 0.0112724 0.00556911 0.000268391 0.000134195 4.4622 0.000134195 
50.8036 0.0112053 0.00550201 0.000335489 0.000201293 4.45965 0.000134195 
51.81 0.0111382 0.00543491 0.000402586 0.000268391 4.45596 0.000134195 
52.8138 0.0112053 0.00550201 0.000335489 6.70977e-05 4.45395 0.000268391 
53.8206 0.0112724 0.00556911 0.000268391 0 4.45193 0.000268391 
54.8315 0.0112053 0.00550201 0.000335489 6.70977e-05 4.45019 0.000268391 
55.835 0.0112053 0.00550201 0.000335489 6.70977e-05 4.4473 0.000268391 
56.8466 0.0111382 0.00543491 0.000402586 0.000134195 4.44475 0.000268391 
57.854 0.0112053 0.00550201 0.000335489 6.70977e-05 4.44234 0.000268391 
58.859 0.0112053 0.00550201 0.000335489 6.70977e-05 4.43999 0.000268391 
59.864 0.0110711 0.00536782 0.000469684 0.000201293 4.43845 0.000268391 
60.8656 0.0112053 0.00550201 0.000335489 6.70977e-05 4.43684 0.000268391 
61.8726 0.0112724 0.00556911 0.000268391 0 4.43529 0.000268391 
62.8862 0.0112053 0.00550201 0.000335489 6.70977e-05 4.43328 0.000268391 
63.9555 0.0112724 0.00556911 0.000268391 0 4.43026 0.000268391 
64.9604 0.0110711 0.00536782 0.000469684 0.000201293 4.42919 0.000268391 
65.9768 0.0110711 0.00536782 0.000469684 0.000201293 4.42751 0.000268391 
67.0283 0.0112053 0.00550201 0.000335489 6.70977e-05 4.42597 0.000268391 
68.0288 0.0111382 0.00543491 0.000402586 0.000134195 4.42483 0.000268391 
69.0391 0.0112053 0.00550201 0.000335489 6.70977e-05 4.42301 0.000268391 
70.0661 0.0112724 0.00556911 0.000268391 0 4.42194 0.000268391 
71.091 0.0110711 0.00536782 0.000469684 0.000201293 4.41986 0.000268391 
72.0936 0.0110711 0.00536782 0.000469684 0.000201293 4.41845 0.000268391 
73.1156 0.0112053 0.00550201 0.000335489 6.70977e-05 4.41617 0.000268391 
74.1175 0.0110711 0.00536782 0.000469684 0.000201293 4.41449 0.000268391 
75.1225 0.0110711 0.00536782 0.000469684 0.000201293 4.41194 0.000268391 
76.1288 0.0112053 0.00550201 0.000335489 6.70977e-05 4.41026 0.000268391 
77.1428 0.011004 0.00530072 0.000536782 0.000268391 4.40845 0.000268391 
78.1452 0.0112053 0.00550201 0.000335489 6.70977e-05 4.4059 0.000268391 
79.152 0.0111382 0.00543491 0.000402586 0.000134195 4.40376 0.000268391 
80.1564 0.0111382 0.00543491 0.000402586 0.000134195 4.40134 0.000268391 
81.1876 0.0111382 0.00543491 0.000402586 0.000134195 4.40007 0.000268391 
82.208 0.0108698 0.00516652 0.000670977 0.000268391 4.39859 0.000402586 
83.2094 0.0111382 0.00543491 0.000402586 0 4.39705 0.000402586 
84.239 0.011004 0.00530072 0.000536782 0.000134195 4.39584 0.000402586 
85.2444 0.0108698 0.00516652 0.000670977 0.000268391 4.3945 0.000402586 
86.2467 0.0110711 0.00536782 0.000469684 6.70977e-05 4.39269 0.000402586 
87.2518 0.0108698 0.00516652 0.000670977 0.000268391 4.39128 0.000402586 
88.2702 0.0109369 0.00523362 0.000603879 0.000201293 4.38913 0.000402586 
89.2734 0.0108698 0.00516652 0.000670977 0.000268391 4.38826 0.000402586 
90.308 0.0110711 0.00536782 0.000469684 6.70977e-05 4.38745 0.000402586 
91.3153 0.0108698 0.00516652 0.000670977 0.000268391 4.38584 0.000402586 
