time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1 16957 8388 183 3 6.94392e+06 180 
2.00002 16905 8336 235 1 6.93479e+06 234 
3.00002 16863 8294 277 3 6.92727e+06 274 
4.00037 16840 8271 300 0 6.92076e+06 300 
5.00057 16797 8228 343 1 6.91492e+06 342 
6.00057 16777 8208 363 1 6.90927e+06 362 
7.00065 16761 8192 379 1 6.90401e+06 378 
8.00065 16745 8176 395 1 6.89924e+06 394 
9.00111 16732 8163 408 0 6.89453e+06 408 
10.0013 16718 8149 422 0 6.88982e+06 422 
11.0013 16708 8139 432 2 6.88541e+06 430 
12.0014 16697 8128 443 1 6.88114e+06 442 
13.0014 16682 8113 458 2 6.87674e+06 456 
14.0014 16676 8107 464 2 6.87292e+06 462 
15.0015 16666 8097 474 0 6.86904e+06 474 
16.0015 16656 8087 484 2 6.86522e+06 482 
17.0016 16647 8078 493 1 6.86141e+06 492 
18.0016 16636 8067 504 0 6.85764e+06 504 
19.0017 16629 8060 511 1 6.85401e+06 510 
20.0018 16626 8057 514 0 6.85037e+06 514 
21.0019 16612 8043 528 2 6.84705e+06 526 
22.0019 16603 8034 537 1 6.84359e+06 536 
23.0021 16600 8031 540 0 6.84016e+06 540 
24.0022 16590 8021 550 0 6.83687e+06 550 
25.0025 16585 8016 555 1 6.83347e+06 554 
26.0027 16580 8011 560 0 6.83028e+06 560 
27.0027 16575 8006 565 1 6.82714e+06 564 
28.0031 16572 8003 568 0 6.82387e+06 568 
29.0032 16569 8000 571 1 6.82067e+06 570 
30.0034 16562 7993 578 0 6.81737e+06 578 
31.0034 16559 7990 581 1 6.81422e+06 580 
32.0037 16548 7979 592 0 6.81111e+06 592 
33.0038 16546 7977 594 0 6.80806e+06 594 
34.0039 16540 7971 600 0 6.80512e+06 600 
35.004 16538 7969 602 0 6.80221e+06 602 
36.0042 16536 7967 604 0 6.79914e+06 604 
37.0043 16529 7960 611 1 6.79617e+06 610 
38.0043 16523 7954 617 1 6.79325e+06 616 
39.0045 16518 7949 622 0 6.79038e+06 622 
40.0046 16507 7938 633 1 6.78757e+06 632 
41.005 16500 7931 640 0 6.78482e+06 640 
42.005 16492 7923 648 0 6.7821e+06 648 
43.0052 16485 7916 655 1 6.77929e+06 654 
44.0053 16482 7913 658 0 6.77662e+06 658 
