time	conversion
1.0057	0.00357759
2.01054	0.00666667
3.01552	0.00820402
4.01635	0.0103017
5.01769	0.012658
6.01885	0.0138793
7.02715	0.0145833
8.02869	0.0156609
9.03252	0.0173276
10.0377	0.0186925
11.0383	0.0196121
12.0386	0.0210632
13.0406	0.0222989
14.0479	0.0232328
15.0517	0.0244397
16.0526	0.0255029
17.0575	0.0267672
18.0623	0.0277443
19.0626	0.0288218
20.0817	0.0298132
21.0845	0.0306034
22.0948	0.031408
23.0949	0.032227
24.095	0.0330603
25.108	0.0341092
26.1165	0.0347989
27.1165	0.0356609
28.1238	0.0363649
29.1247	0.0371839
30.128	0.038046
31.1378	0.0388793
32.1454	0.0395402
33.1458	0.0402299
34.146	0.0409195
35.1478	0.0416523
36.1525	0.0423707
37.1526	0.0430172
38.1654	0.0437069
39.1731	0.0443247
40.1735	0.0449569
41.1767	0.0456753
42.1814	0.0462787
43.1828	0.0469971
44.1888	0.0475575
45.1905	0.0485201
46.1906	0.0490805
47.1921	0.0495833
48.1941	0.0500431
49.1984	0.0506178
50.2021	0.0513362
51.2025	0.0519971
52.2038	0.0526437
53.2083	0.0531753
54.2148	0.0538793
55.2179	0.0545546
56.2192	0.0551149
57.2214	0.0557615
58.2238	0.0564655
59.2277	0.0571839
60.2307	0.0580172
61.2307	0.05875
62.2333	0.0593247
63.234	0.0597701
64.234	0.0604023
65.2359	0.0607471
66.2359	0.0611638
67.2359	0.0615517
68.2553	0.0621552
69.2605	0.062658
70.2666	0.0631034
71.2673	0.0635632
72.2692	0.0641954
73.272	0.0647414
74.2742	0.0652299
75.2742	0.0659195
76.2873	0.0665661
77.2876	0.0669828
78.2883	0.0674425
79.2899	0.0680172
80.2984	0.0685345
81.2987	0.0688649
82.3041	0.0693247
83.3117	0.0698707
84.313	0.0704598
85.3159	0.0711638
86.3194	0.0717672
87.3195	0.0724856
88.3204	0.0730603
89.3207	0.0735776
90.321	0.0741092
91.3253	0.0746408
92.3259	0.0751724
93.3285	0.0757759
94.3294	0.0763218
95.3325	0.0769109
96.337	0.0775
97.3415	0.0779454
98.3434	0.0785057
99.3446	0.0791236
100.347	0.0796121
101.351	0.0801437
102.357	0.0808477
103.358	0.0814943
104.36	0.0820977
105.36	0.0825144
106.364	0.082931
107.368	0.0834195
108.371	0.0839368
109.385	0.0842816
110.387	0.0846839
111.388	0.0852443
112.39	0.0855316
113.394	0.0859195
114.398	0.0863362
115.402	0.0869684
116.407	0.0874425
117.409	0.087931
118.41	0.0885057
119.41	0.0887787
120.412	0.0891523
121.42	0.089727
122.423	0.0902874
123.424	0.0906178
124.428	0.0910776
125.441	0.0915948
126.445	0.0921121
127.445	0.0925718
128.445	0.0930172
129.448	0.0934195
130.459	0.09375
131.46	0.0941236
132.461	0.0946121
133.462	0.0950144
134.464	0.0954741
135.464	0.095977
136.471	0.0965086
137.474	0.0968391
138.475	0.0972557
139.479	0.0977011
140.481	0.098204
141.482	0.0985201
142.487	0.0989368
143.49	0.0993678
144.493	0.0998563
145.493	0.10023
146.493	0.100474
147.494	0.100977
148.504	0.101451
149.506	0.101825
150.509	0.10227
151.518	0.102759
152.518	0.103161
153.518	0.103491
154.519	0.103922
155.52	0.104353
156.526	0.104626
157.535	0.104928
158.537	0.105273
159.539	0.105546
160.54	0.105704
161.54	0.106006
162.544	0.106379
163.547	0.106681
164.553	0.107069
165.553	0.107342
166.562	0.107759
167.564	0.108032
168.564	0.108305
169.578	0.108506
170.581	0.108822
171.587	0.109267
172.591	0.109799
173.592	0.110158
174.595	0.11046
175.595	0.110833
176.601	0.111135
177.604	0.111537
178.624	0.111839
179.627	0.112098
180.635	0.112342
181.638	0.112658
182.64	0.113175
183.64	0.113635
184.647	0.114124
185.65	0.114425
186.65	0.114828
187.652	0.115144
188.653	0.115546
189.656	0.115891
190.657	0.116149
191.669	0.116394
192.67	0.116681
193.67	0.116997
194.675	0.117457
195.678	0.117802
196.68	0.118032
197.682	0.118376
198.688	0.118721
199.693	0.118908
200.718	0.119239
201.727	0.119641
202.736	0.120029
203.738	0.120273
204.739	0.12056
205.741	0.120776
206.743	0.121193
207.749	0.121523
208.751	0.121695
209.757	0.122055
210.768	0.122428
211.768	0.122744
212.771	0.123017
213.772	0.123319
214.775	0.123635
215.775	0.123894
216.781	0.124109
217.788	0.124425
218.796	0.12467
219.798	0.124943
220.802	0.125259
221.802	0.12556
222.803	0.12602
223.808	0.126422
224.811	0.126739
225.811	0.127011
226.819	0.127356
227.826	0.127557
228.827	0.127859
229.831	0.128103
230.833	0.128434
231.836	0.128851
232.838	0.129152
233.847	0.129468
234.888	0.129784
235.898	0.130043
236.9	0.130374
237.9	0.130632
238.904	0.130761
239.91	0.130963
240.915	0.13125
241.916	0.131566
242.918	0.131897
243.919	0.132385
244.921	0.132658
245.922	0.132974
246.926	0.133233
247.927	0.133534
248.931	0.133764
249.936	0.134195
250.939	0.134511
251.948	0.134828
252.949	0.135172
253.951	0.135589
254.952	0.135891
255.956	0.136092
256.961	0.136422
257.967	0.136739
258.968	0.136983
259.985	0.137184
260.986	0.137486
261.986	0.137802
262.988	0.138003
263.991	0.138376
264.994	0.138678
266	0.138822
267.001	0.139152
268.01	0.139483
269.01	0.139713
270.012	0.14
271.024	0.140287
272.032	0.140503
273.036	0.140819
274.038	0.140991
275.042	0.141207
276.047	0.141566
277.053	0.141825
278.056	0.142256
279.064	0.142414
280.072	0.14273
281.073	0.143147
282.075	0.143376
283.077	0.143678
284.078	0.144066
285.08	0.144253
286.095	0.14454
287.099	0.144784
288.103	0.145072
289.103	0.145445
290.103	0.145862
291.111	0.146178
292.116	0.146451
293.12	0.146739
294.122	0.147069
295.125	0.147328
296.126	0.147572
297.131	0.147945
298.134	0.148247
299.134	0.148649
300.137	0.148908
301.138	0.149339
302.142	0.149741
303.145	0.149957
304.146	0.150259
305.153	0.150603
306.155	0.150891
307.164	0.151178
308.165	0.151422
309.167	0.151638
310.173	0.151897
311.178	0.152055
312.187	0.152342
313.188	0.152529
314.19	0.15296
315.19	0.153463
316.209	0.153793
317.213	0.154052
318.216	0.15431
319.22	0.154555
320.23	0.154856
321.232	0.155057
322.234	0.15523
323.244	0.15556
324.244	0.155833
325.244	0.156193
326.249	0.156451
327.253	0.156724
328.259	0.157011
329.26	0.157155
330.263	0.157428
331.266	0.157658
332.267	0.157902
333.273	0.158103
334.282	0.158348
335.286	0.158649
336.287	0.158822
337.288	0.15908
338.289	0.159224
339.293	0.159454
340.298	0.159727
341.305	0.160086
342.305	0.16033
343.314	0.160733
344.314	0.161078
345.315	0.161236
346.322	0.16148
347.324	0.161782
348.325	0.16204
349.329	0.162328
350.33	0.162644
351.338	0.162845
352.345	0.163305
353.349	0.163678
354.351	0.163966
355.353	0.16421
356.357	0.164411
357.358	0.164741
358.359	0.165057
359.361	0.165187
360.361	0.165431
361.366	0.165603
362.378	0.165848
363.379	0.166121
364.381	0.166307
