time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00002 0.0226857 0.0111859 0.000315359 1.34195e-06 4.65366 0.000314017 
2.00003 0.0226079 0.011108 0.000393193 0 4.64389 0.000393193 
3.00007 0.0225522 0.0110523 0.000448884 6.70977e-07 4.63577 0.000448213 
4.00008 0.0225005 0.0110007 0.000500549 0 4.62834 0.000500549 
5.00009 0.0224616 0.0109618 0.000539466 0 4.62187 0.000539466 
6.0001 0.0224241 0.0109242 0.00057704 0 4.61592 0.00057704 
7.00011 0.0223986 0.0108987 0.000602537 1.34195e-06 4.6101 0.000601195 
8.00011 0.0223791 0.0108792 0.000621996 2.01293e-06 4.60462 0.000619983 
9.00012 0.0223502 0.0108504 0.000650848 1.34195e-06 4.59937 0.000649506 
10.0002 0.0223174 0.0108175 0.000683726 6.70977e-07 4.5943 0.000683055 
11.0002 0.0222986 0.0107987 0.000702513 6.70977e-07 4.58955 0.000701842 
12.0002 0.0222751 0.0107752 0.000725997 1.34195e-06 4.58493 0.000724655 
13.0005 0.022259 0.0107591 0.000742101 0 4.58053 0.000742101 
14.0005 0.0222355 0.0107356 0.000765585 6.70977e-07 4.57621 0.000764914 
15.0005 0.0222174 0.0107175 0.000783701 1.34195e-06 4.57198 0.000782359 
16.0005 0.0221959 0.010696 0.000805172 1.34195e-06 4.56781 0.00080383 
17.0005 0.0221785 0.0106786 0.000822618 1.34195e-06 4.56369 0.000821276 
18.0006 0.0221583 0.0106585 0.000842747 0 4.55993 0.000842747 
19.0006 0.0221409 0.010641 0.000860193 0 4.55613 0.000860193 
20.0007 0.0221235 0.0106236 0.000877638 0 4.55245 0.000877638 
21.0007 0.0221 0.0106001 0.000901122 6.70977e-07 4.54886 0.000900451 
22.0007 0.0220919 0.010592 0.000909174 6.70977e-07 4.54539 0.000908503 
23.0007 0.0220738 0.0105739 0.00092729 1.34195e-06 4.54194 0.000925948 
24.0008 0.022059 0.0105592 0.000942052 0 4.53852 0.000942052 
25.0009 0.0220436 0.0105437 0.000957484 6.70977e-07 4.53524 0.000956813 
26.0009 0.0220288 0.010529 0.000972246 6.70977e-07 4.53191 0.000971575 
27.0009 0.0220174 0.0105176 0.000983652 0 4.52873 0.000983652 
28.0009 0.0220047 0.0105048 0.000996401 2.01293e-06 4.52558 0.000994388 
29.001 0.0219953 0.0104954 0.00100579 6.70977e-07 4.52238 0.00100512 
30.0011 0.0219852 0.0104854 0.00101586 0 4.51936 0.00101586 
31.0012 0.0219745 0.0104746 0.00102659 0 4.51642 0.00102659 
32.0013 0.0219678 0.0104679 0.0010333 0 4.51341 0.0010333 
33.0014 0.0219617 0.0104619 0.00103934 6.70977e-07 4.51039 0.00103867 
