time	species[0]	species[1] 	species[2]	species[3] 	 species[4]	species[5] 
1.00002 33810 16671 470 2 6.93565e+06 468 
2.00003 33694 16555 586 0 6.92109e+06 586 
3.00007 33611 16472 669 1 6.90899e+06 668 
4.00008 33534 16395 746 0 6.89792e+06 746 
5.00009 33476 16337 804 0 6.88828e+06 804 
6.0001 33420 16281 860 0 6.8794e+06 860 
7.00011 33382 16243 898 2 6.87072e+06 896 
8.00011 33353 16214 927 3 6.86256e+06 924 
9.00012 33310 16171 970 2 6.85474e+06 968 
10.0002 33261 16122 1019 1 6.84718e+06 1018 
11.0002 33233 16094 1047 1 6.84011e+06 1046 
12.0002 33198 16059 1082 2 6.83322e+06 1080 
13.0005 33174 16035 1106 0 6.82666e+06 1106 
14.0005 33139 16000 1141 1 6.82022e+06 1140 
15.0005 33112 15973 1168 2 6.81391e+06 1166 
16.0005 33080 15941 1200 2 6.8077e+06 1198 
17.0005 33054 15915 1226 2 6.80156e+06 1224 
18.0006 33024 15885 1256 0 6.79595e+06 1256 
19.0006 32998 15859 1282 0 6.7903e+06 1282 
20.0007 32972 15833 1308 0 6.78482e+06 1308 
21.0007 32937 15798 1343 1 6.77946e+06 1342 
22.0007 32925 15786 1355 1 6.77428e+06 1354 
23.0007 32898 15759 1382 2 6.76914e+06 1380 
24.0008 32876 15737 1404 0 6.76405e+06 1404 
25.0009 32853 15714 1427 1 6.75916e+06 1426 
26.0009 32831 15692 1449 1 6.75419e+06 1448 
27.0009 32814 15675 1466 0 6.74945e+06 1466 
28.0009 32795 15656 1485 3 6.74477e+06 1482 
29.001 32781 15642 1499 1 6.73999e+06 1498 
30.0011 32766 15627 1514 0 6.73549e+06 1514 
31.0012 32750 15611 1530 0 6.73111e+06 1530 
32.0013 32740 15601 1540 0 6.72663e+06 1540 
33.0014 32731 15592 1549 1 6.72213e+06 1548 
34.0014 32721 15582 1559 1 6.71765e+06 1558 
35.0014 32707 15568 1573 1 6.71327e+06 1572 
36.0016 32684 15545 1596 0 6.70896e+06 1596 
37.0016 32678 15539 1602 0 6.70468e+06 1602 
38.0016 32663 15524 1617 1 6.70036e+06 1616 
39.0016 32649 15510 1631 1 6.69617e+06 1630 
40.0017 32636 15497 1644 0 6.69201e+06 1644 
41.0017 32624 15485 1656 0 6.6879e+06 1656 
42.0017 32612 15473 1668 0 6.68382e+06 1668 
43.0018 32596 15457 1684 0 6.6798e+06 1684 
44.0018 32582 15443 1698 0 6.67587e+06 1698 
45.0019 32570 15431 1710 0 6.67200e+06 1710 
46.002 32558 15419 1722 0 6.66817e+06 1722 
47.002 32550 15411 1730 0 6.66427e+06 1730 
48.0021 32540 15401 1740 0 6.6604e+06 1740 
49.0022 32532 15393 1748 0 6.65634e+06 1748 
50.0022 32524 15385 1756 0 6.65259e+06 1756 
51.0023 32512 15373 1768 0 6.64887e+06 1768 
52.0024 32504 15365 1776 0 6.64508e+06 1776 
